,Area,Area Id,Variable Name,Variable Id,Year,Value
423,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1970.0,3.0
424,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,3.227
425,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,3.364
426,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,3.636
427,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,2.134
428,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,2.351
429,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1999.0,2.116
430,Finland,67.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2006.0,5.965
439,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,14.67
440,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,16.53
441,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,18.58
442,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1997.0,14.37
443,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,15.34
444,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,14.69
445,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,13.1
446,France,68.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2016.0,12.53
455,Gabon,74.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.0361
456,Gabon,74.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.0725
457,Gabon,74.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,0.0838
461,Gambia,75.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1982.0,0.25
462,Gambia,75.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,1.131
465,Georgia,73.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,2.863
466,Georgia,73.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2008.0,2.8789999999999996
469,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1991.0,30.05
470,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,29.35
471,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2001.0,25.4
472,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,20.95
473,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2010.0,21.42
474,Germany,79.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2016.0,15.87
481,Ghana,81.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1970.0,0.5338
482,Ghana,81.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,1.7469999999999999
485,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1970.0,6.218999999999999
486,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,6.251
487,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,7.354
488,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,8.02
489,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1992.0,11.74
490,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1997.0,12.7
491,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,13.49
492,Greece,84.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,14.02
